,local,global
$co$,0.0007290840148925781,0.19809960959562645
you,0.0007734153328872309,0.11620960804345326
be,0.000628140411878887,0.15029084222893718
the,0.0008023247122764587,0.15098366298357901
do,0.00043703828539167134,0.11168996888370553
it,0.0006167685731928399,0.10955267654605283
$name$,0.0008676749903981279,0.21755341126379524
i,0.0003906904264938,0.12504144055224353
that,0.0006071757047604292,0.09697025915707014
a,0.0013495515554379194,0.16407632175306974
what,0.0009163159590501052,0.13212836615549084
nan,0.010707873722602582,0.18751625351752532
and,0.0013409072444552467,0.165668932642688
to,0.0005025532510545519,0.1727584776578357
go,0.0005190244742802211,0.2074614255233982
we,0.0004625694696293321,0.1326430856031955
in,0.0005757692383556831,0.12438372278921628
he,0.0021176218986511232,0.33085440821580747
have,0.00030021866162618,0.12215113834223013
there,0.0007217526435852051,0.19115286180418256
on,0.0009185184131969105,0.23383285825682365
get,0.0009240791201591492,0.2437632285166207
this,0.000667897666372904,0.15316270810200905
one,0.0011638126722196254,0.20671062548228003
can,0.0007157794066837855,0.17275465654567046
they,0.000628269300228212,0.246313570761722
of,0.001073816338100949,0.13189192704763697
your,0.0007324887485038944,0.10676283013094812
see,0.0006508355916932572,0.21246539367727368
know,0.00030355390749479597,0.07874588402595228
she,0.000791185611003154,0.1260732474130477
me,0.0002965569496154785,0.10671619333919191
think,0.0003104376238445903,0.17077110766278802
want,0.0006048663242443188,0.09753104420191938
here,0.0005913004279136658,0.12481177237711694
like,0.0005524297093236169,0.12040550199517985
for,0.0003992716471354167,0.14989926519934482
put,0.0007676425434294201,0.09605635993948891
with,0.0008366041713290744,0.13656757153240795
good,0.0003088985170636858,0.11279688922071196
now,0.0007337220879488213,0.18538248302345528
not,0.0004115660082210194,0.1653849667740489
will,0.0004628507987312649,0.17070606437680802
look,0.0012325644493103027,0.15444715393485708
all,0.0004891398407164074,0.14463750152556099
come,0.0016208261251449585,0.31341918129540436
at,0.0010573744773864746,0.19322850144013637
say,0.0009701725764152331,0.21484392860350632
up,0.0006320868667803312,0.12885631387386376
right,0.0007771467551206931,0.14873946690797257
