,local,global
$co$,0.0007063187658786774,0.23351371365224904
you,0.0008343812581655142,0.1739545222048685
do,0.0006742426327296665,0.15478190945608528
be,0.0010489993973782188,0.16833893822940516
the,0.0014560174297642064,0.21418675700161927
i,0.00048739881050295945,0.18718566613273824
$name$,0.0014507671197255452,0.21996718652897818
it,0.0009441912174224853,0.19450842793423406
a,0.002093823332535593,0.14303910234285255
that,0.00147467702627182,0.15588189489494142
what,0.0011171922087669373,0.18723064667992728
to,0.0009543750737164472,0.23537780274277464
and,0.0016548287036807039,0.2596319226071663
nan,0.012844824477245933,0.18988234529382575
go,0.0011693388223648071,0.25005521287484334
have,0.0010197664562024567,0.17710577908006553
in,0.0010510653984255906,0.17480272894689464
he,0.001562823087741167,0.32330371113699663
on,0.0016855773600665007,0.2444183681904265
your,0.0011889452026003884,0.22232375753696276
get,0.0008334575629815823,0.2716713690380451
we,0.0008557793256398794,0.1624839246825709
this,0.0010212695959842567,0.18523758931012002
there,0.0008542265210832868,0.1922877453314239
can,0.000976677550825962,0.20687095835623848
of,0.0013888623263384845,0.29210589965238376
me,0.0014068898227479723,0.20853999504728626
one,0.001035259829627143,0.17400481204602203
know,0.0005364194512367249,0.14056287769703024
they,0.001903418338660038,0.2867248704240628
see,0.000877082347869873,0.18788193147239407
like,0.0010466189945445342,0.12386050579129326
here,0.0008683252978969265,0.20217029125215202
for,0.0011309742927551269,0.20514901555197218
with,0.0017280109000928474,0.2226721141979502
think,0.0007809642198923472,0.2406595138567772
come,0.0015162016664232527,0.3257583736775622
want,0.0013016666236676667,0.18937341857501988
say,0.0019815823970696866,0.240565762369927
she,0.0018846988677978516,0.2907468159554498
not,0.0005308335477655584,0.1608284548166219
now,0.0010713891285221752,0.2186061848846642
up,0.0007641766522381757,0.25195184246072244
will,0.0007124998990227195,0.15116208062053937
right,0.001626655910954331,0.25143682911127985
about,0.002261635584708972,0.30812140470572846
good,0.0004835827010018485,0.2185151971692959
tell,0.002382215857505798,0.3189947983856096
just,0.00047385692596435547,0.18751540307418024
put,0.001074077118010748,0.0769750823679507
all,0.0012523168470801377,0.19680081797759852
little,0.0020903413360183302,0.18580058284050882
at,0.0014713052156809215,0.20268584681158153
look,0.002449925129230206,0.20880013973805656
how,0.001361635753086635,0.1922438285016611
but,0.0008483513807639098,0.2710662004092208
when,0.0010140450561747832,0.20305221680742513
let,0.0012413138567015183,0.1507795702173833
if,0.000752727190653483,0.24197127980602073
then,0.0012244626879692078,0.2758509194355485
where,0.0020102455809309677,0.2965010822085784
out,0.001515951098465338,0.29816862395158505
so,0.000664055347442627,0.18525516726766644
them,0.0010573016969781172,0.14883181860768968
some,0.0006992953164236886,0.1307574503164327
make,0.0009084343910217285,0.20949905114596135
because,0.00046912772314889093,0.14999793651878246
eat,0.0015684136977562537,0.21258684954617113
my,0.0012747284613157574,0.2630872026380048
who,0.0035626506194090233,0.41594867462049256
gonna,0.001992456796692639,0.3721539296606351
take,0.0009305734892149229,0.2854777455886184
play,0.002555726347742854,0.21383963273319684
or,0.0010051931653703961,0.30600453940944294
why,0.0008380810419718424,0.2131410615724858
thing,0.0011003581253257958,0.3013172845613664
down,0.001196707288424174,0.17244338691214722
him,0.001417452096939087,0.266880427123969
real,0.0005100689283231409,0.1301119501448742
her,0.001524425604764153,0.189569861714321
back,0.0012334386507670085,0.19432933274422737
very,0.0006650811747500771,0.15897009345859747
his,0.0010237131799970354,0.22889376522568183
too,0.0009713560342788696,0.2355173950153937
have_to,0.0007141364945305719,0.13046403601407175
bit,0.0034564442750884264,0.45263382351912684
over,0.0012232457336626556,0.13883879142825917
time,0.0007310397922992706,0.17710881066467055
more,0.0010132840701511927,0.24705377445138244
something,0.0011162620324354905,0.23242778417727739
big,0.0010849982500076294,0.2309878210236651
two,0.0008736359221594674,0.1443433451163646
could,0.00119858980178833,0.2761809120563551
off,0.0009331830910273961,0.20974217771987458
sit,0.0009061029979160854,0.1346314519981492
give,0.0017150137573480606,0.24382867315608914
okay,0.0011504778736516048,0.12404995725154921
those,0.0004995531506008572,0.18348720496683835
no,0.001570449425623967,0.2800184302332328
else,0.002009767625066969,0.22214031087002362
these,0.0007866298830186999,0.17088091890283563
other,0.0014190123631403996,0.17122613523510655
talk,0.0007359490675084732,0.15533088592690947
nice,0.0004947831233342489,0.178054312741444
happen,0.001181177402797498,0.21840908835085127
hear,0.0007400198115242852,0.2600163721977061
need,0.0011837380273001534,0.26546065962191545
well,0.0005205606713014491,0.26499817852044405
