,local,global
you,0.000929841489502878,0.17089306034588514
do,0.0006676896198375805,0.2280685304992015
be,0.0003599994110338616,0.22300170955264276
the,0.0007312008312770298,0.18736352172599935
i,0.0007434809530103528,0.2159902971677945
$name$,0.0009118366885829617,0.285955661227268
it,0.0004811449484391646,0.18175273973782502
a,0.0008071170133702896,0.19409112847522314
that,0.0007064673635694715,0.19021052556733886
what,0.0031158462647468813,0.22933378856495334
and,0.0003574743415370132,0.2065233737609099
to,0.000551032053457724,0.1916467290068642
nan,0.018827010423709184,0.4943379199461829
go,0.0012066811323165894,0.2835261421209805
oh,0.0010343939065933228,0.2996940550227547
have,0.0005750546329899839,0.2094756607076187
in,0.0012084578766542323,0.24129264065271527
he,0.001180484439387466,0.2828439681995971
on,0.0015490989427308778,0.2625064805995049
we,0.0006679857478422277,0.21053758709660264
get,0.0008304931900717995,0.21709296181090343
your,0.002017721985325669,0.23219552568137003
this,0.0012914122957171817,0.238116723397234
okay,0.0008101156779697963,0.20386982078957427
no,0.0013879587252934773,0.27237247304181555
there,0.0007680871269919655,0.19901370326579937
can,0.0005664979257891255,0.20905752882411976
of,0.0015430756977626255,0.29413662567054055
like,0.0009079418684306898,0.19769168465070164
one,0.0016460313516504625,0.29026717883966935
me,0.0017048857714000501,0.3052997080135307
know,0.0009360031949149237,0.21014416823695936
they,0.0009016447207506965,0.2557226849744809
right,0.001567610436015659,0.35621728025722543
yeah,0.0005108300182554456,0.3658784839305611
see,0.0012080266195185045,0.2783566887034816
here,0.0015035834577348498,0.21175855348438732
for,0.000940399292187813,0.22000998435718266
think,0.0003707177109188504,0.25082111125400897
well,0.0010751649737358094,0.3668662220504392
say,0.0015126446882883708,0.3130209502484308
with,0.0005358182466947115,0.31425515202344767
she,0.0013715724150339763,0.20082934800518903
want,0.0012197331948713822,0.2640667181930434
look,0.0015853830746241978,0.24431239213074574
come,0.0023035526275634764,0.3554519765521901
not,0.0008197988782610213,0.2887921253984288
so,0.0010397740312524744,0.26654375808558217
now,0.0006712526082992554,0.3078084698255761
yes,0.001762452648907173,0.33010127189458194
up,0.0019639283418655396,0.29240112946564323
will,0.0007646742619966206,0.32251804027254727
good,0.00262856291186425,0.2806733431116639
put,0.0012097880244255066,0.22773029282073698
just,0.0011704720948871813,0.24327353708691968
all,0.0009251747812543597,0.3613907159629698
at,0.0025167625124861556,0.2822347216886546
about,0.0042481921814583445,0.4129466248483483
tell,0.004663111482347761,0.46341493174519943
little,0.0018380635823958959,0.26603800255759036
how,0.0016065269708633422,0.25869410162027606
but,0.0005916970116751534,0.25564576655497306
then,0.0007105760085277068,0.23438675679777354
when,0.000615088378681856,0.268429672790614
let,0.001698474626283388,0.23153258208860028
if,0.0009312067713056291,0.21809328503237435
them,0.0008505727793719318,0.2195086805857417
where,0.0018820182697193042,0.28848443425192916
out,0.0013433214690950182,0.2863306291645761
some,0.0013968165104205792,0.2647963862809166
make,0.0011353660852481157,0.26743210820046337
eat,0.0016887404701926491,0.22956300899724347
my,0.0022829823634203743,0.22370565998992287
because,0.0004773841184728286,0.24310220764052082
who,0.005675564209620158,0.42578023464830217
play,0.0039341019259558786,0.3051392032196041
take,0.0011104377540382179,0.27180886109491165
gonna,0.0009530108225973029,0.2842725901495975
or,0.0008390989059056991,0.22932057246326665
why,0.000805062907082694,0.3200291619807545
thing,0.002722795193011944,0.3812646770023862
down,0.001143898512866046,0.3598491928178883
her,0.0009075573512486049,0.25808915641479246
him,0.001286648415230416,0.3390750987859287
very,0.001404109928343031,0.24188171905368228
huh,0.001005034236346974,0.3636323186405963
real,0.001838299788926777,0.25278280948117615
back,0.0016351938247680664,0.3122579670052771
his,0.0028310596942901613,0.2621397790624921
too,0.0011431475480397542,0.2791789085954689
alright,0.0011872269890525124,0.2900204873997828
have_to,0.0005084977430455825,0.2431210632222348
over,0.0010088226374457864,0.255220174300816
more,0.0018656384654161407,0.3383212158088149
time,0.002001837321690151,0.32668946946035904
big,0.0016867840612256849,0.2599659093986212
could,0.0006644114067679958,0.3493917625560904
bit,0.00501742817106701,0.40445199331744486
something,0.0011437692140278063,0.2734625307928903
two,0.001095141683306013,0.28841287512377434
off,0.0016876612390790667,0.2005390838083354
hm,0.0033354719479878744,0.5370273573010629
sit,0.0021121129393577576,0.22795904064995165
these,0.0007735974079853779,0.2296371948109388
happen,0.0038674258523517186,0.32444384016354666
give,0.0019530747085809708,0.28446797933365786
nice,0.0021809181746314556,0.31938570465505534
else,0.003963668500223468,0.30539802788270176
those,0.0013357660709283291,0.2806332735588153
other,0.001680910587310791,0.23816236377416056
need,0.001203911869149459,0.2808280562138187
talk,0.0018894846240679424,0.3535626862541179
way,0.003965569169897782,0.36275907610990055
please,0.0020336423601422992,0.36876967317545617
from,0.0015718759717168035,0.3589950098785806
call,0.002125535692487444,0.36411500093128035
wait,0.0026225575378962924,0.31378108221672096
hear,0.002837415784597397,0.28683470734451166
uhhuh,0.003461186091105143,0.5020012851558792
school,0.0017896758185492621,0.33204370732778943
mean,0.0015129010851790265,0.41349171118040673
remember,0.0016631533702214558,0.27420742752774196
boy,0.0021547436714172362,0.2252794745995741
use,0.0013392233267063049,0.3360575696075201
try,0.001507711716187306,0.3558269978506654
ah,0.0035796815698797054,0.5607881808831572
any,0.0015519480956228155,0.29270267668453576
as,0.003110757895878383,0.3316677825696096
today,0.0021949168294668198,0.2743480940495304
wanna,0.0019786953926086426,0.3119320504773766
day,0.0026676985952589246,0.30741842508595685
turn,0.0018932448851095665,0.3073906614345774
maybe,0.0007461244995529587,0.40345926495005546
house,0.004870595534642538,0.40783468517305854
should,0.001813817024230957,0.3831929117625842
minute,0.0011312236657013764,0.24790371364745134
person,0.002759293929950611,0.3619171708215666
baby,0.004439624873074618,0.4098702145879447
kind,0.0020534113833778783,0.2944293055720658
find,0.002836733292310666,0.3861530921632974
another,0.001255700985590617,0.268451927894794
sure,0.002048541517818675,0.4672807540431473
name,0.0038234442472457886,0.25606640401988734
again,0.0015373729370735786,0.3931759485029609
car,0.0005226777150080755,0.3137595469360217
book,0.002801795159616778,0.37128372632583195
first,0.001760757631725735,0.4131574363463183
work,0.003783682297016012,0.2897674430054883
wow,0.004164003037117623,0.4249834526419287
through,0.004648970930199874,0.3901657865355078
much,0.0027018156316545275,0.35158011503110187
three,0.0009342528158618558,0.278541370095437
leave,0.003006052639749315,0.3304344666371679
hand,0.0020272223388447482,0.3098144381937975
still,0.0024066656827926637,0.4460427827430695
watch,0.00395397053045385,0.48318054773126196
dog,0.003762474565794974,0.43004430375039926
hey,0.0021205743153889975,0.2874910986906031
into,0.0030269779657062733,0.3895263101839713
fun,0.0032230118910471597,0.351135830631793
away,0.0026354193687438965,0.3534109380939495
cat,0.004778619735471664,0.3296355653942906
home,0.003545318331037249,0.35924606679975923
man,0.004478083207057073,0.36065054222291304
color,0.0021743429334540117,0.2871068405542876
help,0.0028219403222549794,0.35584162372475847
love,0.0035298446814219157,0.43805155108398797
water,0.0021193931179661904,0.23398036602067607
around,0.003946023828843061,0.2721293119883219
next,0.005404031637943152,0.5261809127697011
finish,0.001850676887175616,0.2905909645925787
anything,0.0018761771065848214,0.2677791223000233
show,0.0021315568532699193,0.31544011487642776
start,0.0020922971399206865,0.4269395944469486
girl,0.0039107847858119655,0.4164025145309779
before,0.0009694620966911316,0.35430771174646747
only,0.0023135338510785783,0.4158609088973092
read,0.0023592859506607056,0.2916685606170325
stop,0.0033970282358281754,0.49907135597521834
after,0.0025422839741957816,0.4230806407227621
by,0.003992555822644915,0.3647905733775969
piece,0.0014988760153452556,0.3528754216089035
fall,0.0019877906888723373,0.26358874398295007
toy,0.0033931007256379,0.3789514873255029
long,0.004419991464325876,0.3390830581017651
five,0.0008466530729223181,0.28024647917441947
last,0.003047645092010498,0.4279774553565976
keep,0.001461191055102226,0.33451231956422267
many,0.0018901382173810686,0.26918741719219386
which,0.003413983293481775,0.39477014344494765
picture,0.002467070565079198,0.3198712089723931
ask,0.003917511871882847,0.40427921546451295
bring,0.002505310483880945,0.30593040124711846
story,0.0030354727059602737,0.32526770104136193
mm,0.003573901653289795,0.43077814694531924
room,0.004822288790056782,0.4437743773142515
buy,0.002663309233529227,0.276323464345854
four,0.0008538365364074707,0.25398427196248285
morning,0.00369500630610698,0.38480001708983647
sound,0.00531293587251143,0.3790414081507687
mommy,0.002341818478372362,0.42800053373871205
mom,0.004478722810745239,0.4940384214992599
us,0.0020645987696763946,0.5102786001801151
drink,0.0013444125652313232,0.21725088973423412
night,0.004832116762797037,0.3726646460881293
run,0.004946194589138031,0.3903708608314467
pretty,0.0019148454070091248,0.33766252537053376
might,0.0009897705670949574,0.38655588420786724
open,0.0023998197387246523,0.3000527874058009
pick,0.002950011028183831,0.3430456391122748
bed,0.003939338028430939,0.28342291136290954
head,0.0022104256080858636,0.3347451179898199
our,0.0020809637175665963,0.29584423614895283
door,0.003603749202959465,0.2941234124465817
stay,0.0025902696557947107,0.3597475907493962
never,0.004721002446280586,0.5129028275814715
ready,0.003392383074149107,0.41176241926442103
walk,0.005895777543385824,0.44529202564388093
table,0.0031167166573660716,0.2997773782957661
hold,0.001953600417999994,0.26181112077910496
their,0.0051139467640926965,0.42065610404186704
break,0.0035765767097473145,0.34593657585812954
thank,0.002404309552291344,0.30114979187231883
must,0.002555402425619272,0.5163460179864511
listen,0.003983873745490764,0.4232325961018446
food,0.0038274969373430522,0.3470337968422048
red,0.0022101998329162598,0.37164402491285065
kid,0.004765713587403297,0.4172630986732023
hungry,0.003953198024204799,0.2990955286651473
even,0.0022703658702761626,0.4606418495829341
bear,0.007293937667723625,0.3885975743035879
green,0.0028291145960489907,0.38451566866054776
old,0.004910425706343217,0.3712448173225592
move,0.0015690579558863785,0.3961463083584117
lot,0.0028538184288220527,0.418213850163737
feel,0.002961704134941101,0.3763282329867823
box,0.0019360115894904504,0.35693685615442494
train,0.002504685650701108,0.37084172068927035
zzz,0.00756931056578954,0.5272637882953188
than,0.0037075099017884997,0.36496395056226016
milk,0.0008994738260904948,0.3705020484524908
drive,0.001197765613424367,0.35031156242451533
stuff,0.003953888135797837,0.384940842575737
hurt,0.0033315920060680757,0.2551329866041191
same,0.0031588113669193153,0.31675678220174996
hard,0.0018368586897850037,0.40542503442316213
haha,0.005048648074821189,0.4894215529050657
hello,0.003223774333794912,0.32272141879135274
wonder,0.004017667336897416,0.4404572435663221
ever,0.0048238734404246015,0.5014473749688951
game,0.004150941967964172,0.5007031285146852
wash,0.0026170946657657623,0.30412061968553006
fish,0.006243889982050116,0.538947899615615
hair,0.002168661561505548,0.25786947253018644
suppose,0.0017832241407254848,0.3666315082898781
while,0.0021381345060136584,0.4206408915106232
blue,0.0023572362702468344,0.29955375848097165
great,0.0033357347312726474,0.5026666172423395
thank_you,0.0027485600224247684,0.21864525613491692
new,0.003485348663832012,0.3273748900216611
hi,0.004035917775971549,0.3414886089398055
enough,0.00256047493372208,0.4417037781563873
though,0.0008116870215444853,0.4272665068295214
place,0.005905144555228097,0.5056499622699039
bad,0.0029620726903279624,0.40478010703630196
fire,0.0034922311703364053,0.48072539714067186
shall,0.0021412596106529236,0.3625313743537424
guess,0.002729260607769615,0.4305170712055393
guy,0.003420462210973104,0.4799928698475596
sleep,0.004943216669148412,0.30960932905714245
light,0.004125963896512985,0.41508239676086744
chair,0.0033839394648869834,0.25087411514777425
daddy,0.0031104893297762485,0.41408250556111204
actual,0.0019020167264071379,0.4690057147774227
mother,0.006415915104650682,0.5075179461769135
friend,0.0026338734934406895,0.3371278045331155
tape,0.003401909271876017,0.4176115659837858
top,0.002608329821855594,0.34544077462006606
cut,0.003349230970655169,0.30446275484156227
somebody,0.0029760792851448057,0.43015660581192783
stick,0.0033035261290413993,0.3581923429783801
forget,0.003951908544052479,0.5493631565801422
different,0.0035854925711949668,0.40466297304662
everything,0.003532995283603668,0.4171857384337051
outside,0.0028277265058981407,0.4029555045035348
word,0.004520928158479578,0.3898028140996791
out_of,0.003184180510671515,0.35780541968659396
until,0.0037740468978881836,0.46243268851494357
mouth,0.0021847813360152705,0.28728335780089886
foot,0.0025117533547537665,0.3743816025972134
yet,0.0018740510329222067,0.3099059569310699
cup,0.001696477013249551,0.29511342512074823
juice,0.0008956674606569352,0.2826600529562594
tree,0.004169929027557373,0.40518060847596493
end,0.0031330909047807966,0.49861140669736237
week,0.004716762789973506,0.4510679734314478
got_to,0.0015240118310258196,0.3788023315467067
live,0.0061489034582067415,0.48474403318789283
wear,0.002060857312432651,0.20917678989592337
hot,0.003126386673219742,0.33233824091194386
animal,0.0026187047813877916,0.3084193142690831
side,0.002852875739336014,0.3906590812111965
bag,0.0016925560461508262,0.4239440552101822
cake,0.0014498406840908911,0.3046955137349546
round,0.0029046062160940733,0.29291966378319934
throw,0.0025917308198081124,0.43676528140179227
money,0.0029702544212341308,0.3259963706079446
sorry,0.002908185605079897,0.34463481467322477
year,0.0022378276895593714,0.38875045542361253
always,0.003054928488847686,0.46815350318486415
family,0.005219441321161058,0.5629429564178803
close,0.00423391546521868,0.4204888329305114
later,0.0028682436261858258,0.3736215130197522
pull,0.001525591862829108,0.3327310360870337
probable,0.002323615841749238,0.4349123420788139
bye,0.007027909611210678,0.4712322578642779
write,0.002707835505990421,0.24165050057419257
dad,0.004431730661636744,0.5519502966294461
push,0.0029316263066397775,0.4032324609294873
tea,0.001353524625301361,0.3303042313276381
dinner,0.0016580381814171286,0.33713711834718907
inside,0.005041101149150303,0.5143736322642787
eye,0.0021086100376013555,0.344089996087228
fly,0.004437425070338779,0.4721094708187905
face,0.0020881923469337257,0.3469757695654099
six,0.00047232928099455657,0.22816882493693236
idea,0.005114091980841852,0.43331896824178007
sometimes,0.003934467161023939,0.5443862817299958
together,0.0027119777141473233,0.44640717701065946
hat,0.0023080048889949404,0.345499846674329
truck,0.001608184155295877,0.27191873753299545
quite,0.004965295917109439,0.5200607321398378
child,0.006035709381103515,0.5216804620874294
tomorrow,0.002719298556998924,0.3291191686537548
stand,0.002213579085138109,0.3845239309399473
egg,0.004345925649007162,0.3976556040994015
cold,0.003066523000597954,0.346395397184287
ball,0.003822861179228752,0.4061041531759445
number,0.0021966580421693862,0.36882806307610805
build,0.0026892062389489374,0.28843448797773785
floor,0.002599625818191036,0.28056498897679283
sing,0.004241583744684855,0.3747650719923036
catch,0.004379313853051927,0.494709039117166
wee,0.014579917703356062,0.791181066516336
nothing,0.004203727116455903,0.48457029834543364
gotta,0.001069045066833496,0.3194424723359631
paper,0.001714431187685798,0.32284530023748104
silly,0.00403224304318428,0.4164379548154278
dear,0.0030265430609385173,0.47153778461228657
second,0.0029069012211215112,0.4012470151956964
orange,0.003887104637482587,0.4421644979186111
favorite,0.004062601037927576,0.33956582249999
shop,0.0038913036214894264,0.401878504582439
part,0.0058634896432199785,0.4552318118375863
clean,0.0019372105598449707,0.24564602948137404
job,0.004149142652750015,0.36093151891674446
jump,0.005665393670399984,0.46361818791406306
horse,0.003215936819712321,0.4503080714489871
yours,0.003816920699495258,0.45703322620973263
bet,0.002522428830464681,0.3320395262001421
sort,0.003995704300263349,0.3400860336248779
honey,0.0028357254831414473,0.4452431883820265
apple,0.0019851487416487476,0.41430461940620045
cool,0.00544939492199872,0.4778870815815126
ahead,0.004342922142573765,0.42421659136498946
whole,0.004596579074859619,0.45626377616395997
yourself,0.0031660722963737717,0.37576683794829535
bus,0.003935651532534896,0.39014591193147974
quick,0.005913849284009236,0.5140605959437466
mine,0.0073323845863342285,0.6069705806442123
caterpillar,0.004538366288849802,0.3092933251252782
coffee,0.0015456016574587142,0.24319626760820523
bath,0.004134906662835015,0.4004445820949646
chicken,0.005079220448221479,0.40009220580924587
happy,0.004423874947759841,0.37600099113106566
fit,0.0031720961843218123,0.28399488790139693
shoe,0.0011042561382055283,0.32040649588324743
care,0.006941396849496024,0.48209495798757673
tire,0.004533402229610242,0.4205013736739168
set,0.004234406081112948,0.43043559418720334
teach,0.006478815078735351,0.5829374997194234
touch,0.005163389775488112,0.3682274207581381
ten,0.0004356098175048828,0.31387689676599406
lose,0.005037236213684082,0.4497233535774322
pretend,0.004186646026723525,0.4707166037945745
ride,0.0016494525803460015,0.2724636693896104
lady,0.0068909696170261926,0.6464518355824289
park,0.002412553628285726,0.42968635425127866
party,0.0030278473189382844,0.34220857928693593
already,0.0033534646034240724,0.40642073282565805
ice,0.003238856792449951,0.3249720910354198
moon,0.006621534333509558,0.5073306647845792
bird,0.0029202886990138464,0.480230321663491
wrong,0.004250408972010893,0.4441275031930655
yesterday,0.0022212713956832886,0.40250014966795356
beautiful,0.004018831584188674,0.465199303549254
every,0.004732539256413777,0.4965228107450961
twenty,0.0005522781404955633,0.24191903601101994
fix,0.002523994759509438,0.2619935077715594
miss,0.004623640227962185,0.5733776471292624
eight,0.0008542585372924805,0.30849533121571604
yep,0.0044351016220293546,0.694572564351984
everybody,0.005181684638514664,0.563986420724718
almost,0.004609256255917433,0.5484277667989946
under,0.0020274015573354866,0.354033260214183
anymore,0.004841807561042981,0.41590134916602994
yellow,0.0018886190194350022,0.298856100445812
sweet,0.006312769192915697,0.554594625982851
uhoh,0.005124845812397618,0.3839248109504396
draw,0.003072166442871094,0.26668354986083387
lunch,0.0016061365604400635,0.2889009135397169
small,0.00441988640361362,0.4453674025989499
