,word,category,lexical_class,period0,period1,period2,period3,period4,period5
0,bite,action_words,verbs,0.22341833282739687,0.24889129733568743,0.23747318097063014,0.2326888242050221,0.21605051938142325,0.25681801568716767
1,blow,action_words,verbs,0.1265998210757971,0.13402659697709857,0.14377582835425673,0.1453332094809948,0.13555998979136347,0.13753100470639765
2,break,action_words,verbs,0.18163399913293474,0.22284175626732208,0.210548180381994,0.202395617231928,0.23537806526590616,0.22673632940038657
3,bring,action_words,verbs,0.2781003030948341,0.22085591617065506,0.25458336337224435,0.2276561042588008,0.21345673142932356,0.22127733586821705
4,build,action_words,verbs,0.16495979087133156,0.14810966572871334,0.1534869686867564,0.14699459849641874,0.13865615902707362,0.12536460154224188
5,bump,action_words,verbs,0.19706470913746776,0.22988558913532056,0.22303391553652593,0.21223882916761008,0.19528938150285063,0.16885227597269573
6,buy,action_words,verbs,0.18219778719484,0.23033842655192865,0.22054041808264124,0.23089382010512055,0.2366772867166079,0.25150771671906114
7,carry,action_words,verbs,0.1565032398375945,0.1347995730558116,0.14521022353512356,0.1985746832564473,0.11631474492605776,0.17810511082792893
8,catch,action_words,verbs,0.18577520740596024,0.1982352161729658,0.18452969631180166,0.19141266719462016,0.20237527640634462,0.17576854163780808
9,chase,action_words,verbs,0.10041979902113478,0.1270495566882585,0.16768411144211487,0.16404351305503112,0.15847925641215765,0.16219064438094696
10,clap,action_words,verbs,0.22323533969328685,0.22908885806406798,0.21442626532469247,0.24907003301713201,0.22964217973982587,0.14676360344808353
11,clean,action_words,verbs,0.23438349924981594,0.22960392621002698,0.23123799737643552,0.20707760800264383,0.23899872708869607,0.240795797883318
12,climb,action_words,verbs,0.20106209314295223,0.1898567861828365,0.22187396463675377,0.22094350098035273,0.2008738558118542,0.1802922232219806
13,close,action_words,verbs,0.11824982673025285,0.16817829442313975,0.13305985550018581,0.15665935251761126,0.11786198460807402,0.14809531262634615
14,cook,action_words,verbs,0.34809213523802,0.3397397527471185,0.3495192343369126,0.36386689308442566,0.32522622357385284,0.3365163270575114
15,cover,action_words,verbs,0.1421570301448044,0.16020864071814636,0.15279530748151815,0.15657329588736357,0.13391427370982292,0.13660593822132797
16,cry,action_words,verbs,0.2228860840000011,0.21931458757938566,0.2508142762459241,0.23306396510452032,0.26541095408233434,0.23700014382409743
17,cut,action_words,verbs,0.15790464647579938,0.20672849427240017,0.19682663027197123,0.16547207297706926,0.20197523112874477,0.18909876924008132
18,dance,action_words,verbs,0.2182112700172833,0.20560570423667496,0.19525715316596784,0.18337107485009208,0.19740844642122587,0.2050394511083141
19,draw,action_words,verbs,0.14774998895919475,0.1795729225835739,0.1673763725333489,0.1612729495152449,0.14802344261031403,0.1526576949713322
20,drive,action_words,verbs,0.17015813323003906,0.15151636519779763,0.17195871613315633,0.18505682433024048,0.16425872083084705,0.15862000561677492
21,drop,action_words,verbs,0.16975787261293995,0.18300791505192007,0.17609173302642173,0.17000452776414318,0.1628761808746136,0.1777467455312207
22,dry,action_words,verbs,0.23408331550084627,0.2250350246205926,0.2274196154781078,0.22717065555288604,0.24433495983099326,0.2555817685819961
23,dump,action_words,verbs,0.22933305175974966,0.18290605366622148,0.20630179708584762,0.1881131888122151,0.22936927201226354,0.18524836333325276
24,eat,action_words,verbs,0.3040121368132532,0.31266323782694644,0.3576986875385046,0.32528608762904215,0.3076520065466563,0.2849863981589293
25,fall,action_words,verbs,0.1827014147097038,0.1982650635273833,0.2178673099519478,0.20308930159379274,0.18240396457871325,0.22097899791735567
26,feed,action_words,verbs,0.17416700479738853,0.16316567594185472,0.1800290188855595,0.17611063057039347,0.15027593384896007,0.19439783804118632
27,find,action_words,verbs,0.2655426039575384,0.2617527795200412,0.27842692416664716,0.23388974456802794,0.2738975086494496,0.22720707394182682
28,finish,action_words,verbs,0.09367150335094414,0.1102201383560896,0.10592485390799611,0.10837538792368244,0.11687633500912704,0.11461267840021695
29,fit,action_words,verbs,0.1409054136214157,0.15071435309456369,0.16422796902573994,0.15426935494328156,0.14636343410716224,0.13251996498841506
30,fix,action_words,verbs,0.19758341402599686,0.22104055657982827,0.21286565477126523,0.1908041128888726,0.18586599718975394,0.19131461986237103
31,get,action_words,verbs,0.35634604358189814,0.34403466871556115,0.3415007308125496,0.3510287512432445,0.34917626255436945,0.37221474821368855
32,give,action_words,verbs,0.24505980227243257,0.17361111047904235,0.2032890840384521,0.28704929289718467,0.22166966710631786,0.2683613949588367
33,go,action_words,verbs,0.286470511709066,0.2796372279524803,0.2783539683691093,0.3027377264066176,0.2862676782267434,0.3262684045152532
34,hate,action_words,verbs,0.1846454361310372,0.13900569674411886,0.19832983598309128,0.19353750355443672,0.20121913414229364,0.17425012201266854
35,have,action_words,verbs,0.3181965005480581,0.2889226667789949,0.3328311481646129,0.3220617157540151,0.31790136812707864,0.33837703498346466
36,hear,action_words,verbs,0.25449835826214906,0.27698925101301736,0.28893600549134946,0.2546972035871525,0.2971851871245437,0.29290067311376333
37,help,action_words,verbs,0.19238962036454016,0.11559112528590737,0.13979582426448664,0.16342775010176608,0.16108464306363693,0.18425731470479684
38,hide,action_words,verbs,0.1510909575264196,0.18681370692425653,0.18159523499198257,0.1926275306675387,0.17134784218958682,0.18265020607504995
39,hit,action_words,verbs,0.18486787914298475,0.21244494397288713,0.21385170267643155,0.18180527891963721,0.19477495684837684,0.23075881311669946
40,hold,action_words,verbs,0.23103288508569583,0.20379177841210835,0.22310573730225625,0.20719039464035097,0.21313875333871693,0.2046560670249164
41,hug,action_words,verbs,0.232465635783769,0.22386855127191857,0.2471208052916659,0.19560277960389047,0.22811599897268492,0.24586364707431277
42,hurry,action_words,verbs,0.16221366266443119,0.2002572981531129,0.1924251769040082,0.17169995916386446,0.2060935860260939,0.18043752387166023
43,jump,action_words,verbs,0.1694434518484693,0.20116231824534062,0.18034357174828247,0.17241547810599991,0.19807879564662775,0.20103923143132738
44,kick,action_words,verbs,0.16579076554626226,0.1458476593192571,0.1559213778457126,0.17476142306501666,0.15826146205996766,0.14667556680834445
45,kiss,action_words,verbs,0.24312505910568166,0.21856425993908674,0.23737105297752553,0.22049517787116416,0.2547190120547182,0.24549037989022005
46,knock,action_words,verbs,0.18995790855426872,0.20732034692385545,0.20886322991767278,0.22502273116260768,0.1958983636294038,0.17850142413456188
47,lick,action_words,verbs,0.23412102909806448,0.2595503175487885,0.22871590030785555,0.22851407263231904,0.2642652785930878,0.2895913005639345
48,like,action_words,verbs,0.29185261484235525,0.27972291672931,0.323109370470047,0.3128239067478312,0.31326425316579204,0.3490125928606306
49,listen,action_words,verbs,0.22278645985266743,0.23917114331076542,0.25614457832915444,0.23722419940317288,0.23754426764531267,0.24142944631286156
50,look,action_words,verbs,0.2047189948179068,0.22999606042867526,0.21509093988154615,0.2094569076370034,0.21428852652510008,0.22248087844678333
51,love,action_words,verbs,0.25621885445081827,0.2563496295754847,0.2872030803312858,0.28817262469480437,0.31253542186635913,0.24678314467136925
52,make,action_words,verbs,0.28853855697172026,0.21128766470189606,0.24372075469000265,0.2295988228172064,0.24875983887830297,0.2750568113012894
53,open,action_words,verbs,0.15261177101952805,0.16327102512523933,0.17385638252091715,0.17804250550957826,0.17678841223057948,0.17834051220844954
54,paint,action_words,verbs,0.17934149079438713,0.20844669526235926,0.2164467488856692,0.2108205769815155,0.21300150379538535,0.19591042739339173
55,pick,action_words,verbs,0.1920515998887519,0.2248921398487356,0.17502211067730036,0.2170196416208873,0.21218379411018556,0.23572209381904358
56,play,action_words,verbs,0.19774600400312528,0.20189584852070422,0.20105900911566538,0.16791962802007393,0.1889448953742111,0.20115571330564144
57,pour,action_words,verbs,0.21477308816825733,0.20599125176668168,0.23845615830176917,0.20381480013020337,0.1984290740452707,0.23386483734998947
58,pretend,action_words,verbs,0.18580136944011255,0.24393173100219834,0.22000530617577688,0.2120684776455164,0.19076877030042502,0.1877591511234641
59,pull,action_words,verbs,0.2898748941719532,0.26409772259963527,0.282582144007871,0.2700209013926677,0.2916501896360364,0.27247267674941283
60,push,action_words,verbs,0.24147838197256388,0.21550611630585548,0.2452653494830697,0.2268834661692381,0.2171279880218208,0.18114817887544632
61,put,action_words,verbs,0.2699769369179481,0.27700652514357826,0.2947738304352149,0.2115315555827692,0.2832626229152083,0.2693786025047302
62,read,action_words,verbs,0.18437371615113485,0.21280958412869558,0.17981787180261952,0.18211957243712326,0.17653564591646978,0.1842707903124392
63,ride,action_words,verbs,0.23948625389587236,0.23119136142368252,0.23397942804373228,0.27183663648994344,0.24275588914752005,0.27200491860126835
64,rip,action_words,verbs,0.20030320284737124,0.24908531205476941,0.20776635995134712,0.26285075386986134,0.20324710985788932,0.19997575372839585
65,run,action_words,verbs,0.1386325616389513,0.15775348902925065,0.19086943824138297,0.17137879814560475,0.17130649250906868,0.14217188643912473
66,say,action_words,verbs,0.22479994601059344,0.22916009447404317,0.2328460764672075,0.24670907791171756,0.2417539639864117,0.2335089107177087
67,see,action_words,verbs,0.33969073047911796,0.334017291026456,0.29877441823482515,0.3047210794726485,0.34074629158587066,0.36666473042633796
68,shake,action_words,verbs,0.1758716307744822,0.17633058538509383,0.1527360200783924,0.1555116703537734,0.18817434306530392,0.12811401892357913
69,share,action_words,verbs,0.11732027191366698,0.09665049082185659,0.08848359518860643,0.0903063906895879,0.0873566322410718,0.08556241458281874
70,show,action_words,verbs,0.15798658282599515,0.15476245254588625,0.1550170683890189,0.14750510486038892,0.14947851921598881,0.15435794020365728
71,sing,action_words,verbs,0.239397565012469,0.2545028068125248,0.2799359870118064,0.25028823830775526,0.2638644275183861,0.23304053825827745
72,sit,action_words,verbs,0.26977841399217906,0.2825116620231897,0.28997625162204105,0.2728834019508213,0.25949191845752095,0.28011536933481695
73,skate,action_words,verbs,0.14794424515874946,0.10536086822394282,0.13314745255519408,0.1361511571181787,0.11756460420101096,0.17234517791523382
74,sleep,action_words,verbs,0.2385383550609861,0.2718745168102415,0.2866031484384286,0.2594700282145488,0.2630580739251205,0.22554078232496977
75,smile,action_words,verbs,0.2058045877949209,0.21560726486719572,0.21193071878515185,0.2309930546161456,0.2686705417517159,0.23863543324956768
76,spill,action_words,verbs,0.11651055122676648,0.137834600743372,0.1194395264222597,0.12416565060419471,0.1559516140140402,0.1262552552856505
