,local,global
you,0.0005797113691057478,0.16351962032081646
be,0.0003137045046862434,0.19265783342298926
the,0.0004904355321611677,0.12713067736716177
do,0.0009167338862563624,0.22861320014144593
it,0.0002533458173274994,0.11271777157191154
$name$,0.0009527609154984757,0.16909575053169612
that,0.000488525834576837,0.14098426729012725
a,0.0005562237330845424,0.23435613460124827
what,0.0020485380116631,0.23599802174118056
i,0.0007916815353162361,0.14767278658897898
to,0.0008044242858886719,0.1501740791648304
nan,0.01786521764901968,1.0522974482511103
and,0.0008543941282456921,0.13970396219133518
go,0.0008067389329274496,0.18232736304463126
oh,0.0006055815352333917,0.17087238464669563
we,0.0003407429903745651,0.12176545846472231
in,0.0006970507758004325,0.22676238882425837
there,0.0006007569176810128,0.17224471769323935
have,0.0007656017939249674,0.24342245300036403
on,0.0010944008827209473,0.2647393711688465
he,0.00114036375476468,0.17989110350211013
this,0.001065585543127621,0.16508354579109485
get,0.0008013192564249039,0.197187659073087
can,0.00032218040958527594,0.1443414568033926
your,0.0012882538139820099,0.13842457843382028
no,0.0012296937607430122,0.2925637770559675
one,0.0015846689542134602,0.22490791615005323
okay,0.0009557775088718959,0.204621887237465
here,0.0006844094821384975,0.19386662993040094
want,0.0007839147001504898,0.15885821080456553
look,0.0007237244296718288,0.17611678424068078
like,0.001135728425449795,0.17054252080015586
see,0.001186693969525789,0.17864455873356622
they,0.001038485957730201,0.15403493486212405
put,0.001060399569963154,0.15752840732347106
of,0.0013526250154544145,0.310234926446885
right,0.0016855478286743164,0.2765023345308252
yes,0.001266293227672577,0.336032227851092
yeah,0.001199648660771987,0.27727915470678854
me,0.00047501220422632555,0.22135247479205444
think,0.000706444467817034,0.19249915717170518
with,0.0008865226717556224,0.21209615822481565
she,0.0013889312744140626,0.2258694396334331
where,0.0007805488048455654,0.22595950875033077
for,0.0009206968384820062,0.1788465722472995
now,0.0003727873166402181,0.2171640028561571
not,0.0008858127726448907,0.24521114125189436
know,0.0013299391076371477,0.182510479496529
come,0.0014447295987928236,0.2645979646585077
say,0.001799214631319046,0.2443100301893122
good,0.0016669218356792743,0.19758155498001573
up,0.0010807451448942487,0.23184872066345996
well,0.001005393617293414,0.15703022927925736
at,0.0015378114653796684,0.17030785697166428
all,0.0011765690226303903,0.2520446722355517
will,0.0011904120445251464,0.3118960468806561
some,0.0006906405091285705,0.15108793201928727
let,0.0009329430758953094,0.18121356042611292
then,0.0008297422352959128,0.1772954640968769
just,0.0004884740885566263,0.1741504218346308
them,0.0011355429887771606,0.15758154817986103
so,0.0002673685550689697,0.20273570518134543
little,0.0014908831370504278,0.23038097052600648
out,0.0009515115192958287,0.25473141424477086
make,0.001038232916279843,0.29638889750782316
how,0.0022384390234947205,0.2560732925826502
who,0.001590895347106151,0.19691999199857202
but,0.0008124318616143588,0.18073559885709156
her,0.0005588206377896396,0.19427243101927172
if,0.0005746115656460033,0.2814610091072153
down,0.0011025212312999525,0.2704237513430888
about,0.0016748461967859513,0.20392316305704683
play,0.0010205209255218506,0.1659914445074716
because,0.00044331720897129603,0.24285032658988293
eat,0.0007853844226934971,0.1481773127200603
my,0.001840179165204366,0.23251069752337694
when,0.000926734770045561,0.25135073688134024
big,0.001271087262365553,0.20024009357461126
take,0.0013054639865190554,0.21476357773093802
very,0.0008499639875748578,0.17417084095275803
his,0.0018659143736868193,0.18932859988988993
baby,0.0007038348250918918,0.24152908374761295
back,0.0016023919862859389,0.1540958637498231
tell,0.0011909372276730007,0.2077468656712208
