,word,category,lexical_class,period0,period1,period2,period3,period4,period5
0,bite,action_words,verbs,0.24551177142482056,0.2264493502676487,0.23844198568871147,0.25565347173496294,0.26758867800235747,0.2381150433793664
1,blow,action_words,verbs,0.12721020891331136,0.14641759120859205,0.13290179781615735,0.13213068805634975,0.1525243792682886,0.1354288334492594
2,break,action_words,verbs,0.25413286744763974,0.22138200481148326,0.2748022687278296,0.2658284945707572,0.27371552847325803,0.27181224779863106
3,bring,action_words,verbs,0.2826243117451668,0.3213869171217084,0.2913235228508711,0.2741602512076497,0.3103113872440238,0.27835538424551487
4,build,action_words,verbs,0.17230365006253123,0.17225669985637068,0.20325276283547283,0.18758150273934007,0.17650830680504442,0.16414292408153414
5,bump,action_words,verbs,0.19945516847074032,0.21188441746764713,0.25354043551181493,0.23513203440234065,0.1816426686011255,0.23839472803999395
6,buy,action_words,verbs,0.26120585538446905,0.2688829077407718,0.32263767048716546,0.277286810753867,0.2567735377699137,0.33145533986389636
7,carry,action_words,verbs,0.203046359680593,0.1646675224366941,0.2039637215435505,0.1676639980170876,0.170187420072034,0.15232271279551482
8,catch,action_words,verbs,0.24651800766587256,0.17979223673280917,0.18271413762122393,0.19984663501381875,0.21073889080435038,0.1969762093534595
9,chase,action_words,verbs,0.20754877123981713,0.1995034957010495,0.1977302051252789,0.11771962381899356,0.19705976657569407,0.1727153353000942
10,clap,action_words,verbs,0.19437760218150085,0.14843108387369858,0.2104175817221403,0.20826615255914235,0.21675205634286007,0.27541573718190193
11,clean,action_words,verbs,0.24584918489886654,0.2828299105167389,0.25637974158713694,0.2453538164496422,0.29031573196775035,0.2835943283513188
12,climb,action_words,verbs,0.22809091117233038,0.24898222275078297,0.23240544990097223,0.2591810081350176,0.28314181244932113,0.2523205725476146
13,close,action_words,verbs,0.15611151213708677,0.1284446538425982,0.21006602589040996,0.1368015688844025,0.1577026316896081,0.1633723466657102
14,cook,action_words,verbs,0.3678234700812027,0.4004709169268608,0.3943749242707303,0.33302594535052776,0.3755378976671232,0.34785726182162763
15,cover,action_words,verbs,0.1691282656701172,0.16886212565004827,0.14135551834478974,0.13901137765496968,0.13003051616251468,0.15393788050860166
16,cry,action_words,verbs,0.2631459627300501,0.2523625291883945,0.3047739675170497,0.29175070077180865,0.23508361589751745,0.24835067360024704
17,cut,action_words,verbs,0.20040131025016308,0.18564877061075286,0.24102275557816027,0.19193241372704506,0.2419522832147777,0.2004449672996998
18,dance,action_words,verbs,0.2570393548200005,0.2454473211577064,0.20904087216446274,0.21402886994183062,0.26829424707425964,0.20702328644692897
19,draw,action_words,verbs,0.19884905144572257,0.21548263151198627,0.20810410587324035,0.22896565236151217,0.19997597642635045,0.1863433717700996
20,drive,action_words,verbs,0.15968029377491852,0.15888679232448338,0.18280481037340665,0.17875684915404572,0.17804668806493282,0.16276765614748
21,drop,action_words,verbs,0.16382160172280338,0.2208885934203863,0.17625456713140011,0.18850650135427713,0.19124824604950846,0.19046800505173833
22,dry,action_words,verbs,0.262721898406744,0.28702037232486827,0.2810596484690905,0.2595208216458559,0.25644035674631593,0.28854913972318175
23,dump,action_words,verbs,0.22224344808216157,0.2143560815602541,0.2679051556869557,0.2366237249225378,0.2696991939293711,0.223857594281435
24,eat,action_words,verbs,0.3529081877321005,0.3690620020031929,0.3574244897812605,0.3385536003857851,0.3482938125729561,0.3447576865553856
25,fall,action_words,verbs,0.23317992314696312,0.19765649188090773,0.239137281320597,0.24515278774656749,0.2691989842998354,0.27667543571442366
26,feed,action_words,verbs,0.17951212333221184,0.17293448001146317,0.17738929763436317,0.1722747606949674,0.18557087373402384,0.1564416505396366
27,find,action_words,verbs,0.29997010293759796,0.296434123814106,0.27809598767443705,0.2973152846097946,0.3362454518675804,0.2835433315485716
28,finish,action_words,verbs,0.13863012253453857,0.12162676246629821,0.14351554504699177,0.12634281529799887,0.10670461622066796,0.115073931648543
29,fit,action_words,verbs,0.16878588507442097,0.14735270699020475,0.16603624019771815,0.14624153671320528,0.1713657726844152,0.15346086056282124
30,fix,action_words,verbs,0.204848138615489,0.2115297395735979,0.24525899636118034,0.2479757059365511,0.20258483447526632,0.2414469934607807
31,get,action_words,verbs,0.41816528141498566,0.38010041766306935,0.3962446517414517,0.38027477512756985,0.4024848122563627,0.3730089997544008
32,give,action_words,verbs,0.29344918988645075,0.25585018042474983,0.3466103317009078,0.2704023993328998,0.3162733126431704,0.2725076850895819
33,go,action_words,verbs,0.34938247608286993,0.2885947357863188,0.29338127076625825,0.3333836934145759,0.33796900045126677,0.27722063792102475
34,hate,action_words,verbs,0.2348553114815762,0.15336530832083603,0.20824109919761358,0.177854838501662,0.15970005719538996,0.15630768912119997
35,have,action_words,verbs,0.38545691553089356,0.37416858006926146,0.3354701107988755,0.3337010377470185,0.3455897140152314,0.2936980746248189
36,hear,action_words,verbs,0.3353958152234554,0.31701886355876924,0.33000036515295506,0.3319631464779377,0.33124065725132823,0.33399880230426787
37,help,action_words,verbs,0.20769464048660463,0.11102977140313562,0.16958803968394504,0.14398443202177683,0.2160316023387407,0.1667606250235909
