,local,global
you,0.001086501611603631,0.16457568917706278
$name$,0.0014668956398963928,0.25883605888272565
i,0.0013361787184690817,0.23076766476568056
the,0.0011002253263424605,0.24562394716570257
do,0.0007701322839066789,0.24395384185304314
be,0.0009161421230861119,0.17883225627245347
it,0.0011241624229832699,0.19959393776185097
a,0.001915269606822246,0.17218857435299462
that,0.0010066802908734577,0.23177832529343123
what,0.0027587133295395795,0.34082366324401747
to,0.0007428356579371861,0.21284249239527275
and,0.0008602648973464966,0.22358776168733252
go,0.0011528046692118926,0.3134899070544396
he,0.0018190238624811172,0.2602698434732259
okay,0.0011469040598188127,0.21935431561565188
have,0.0008189678192138672,0.1924088183917626
on,0.0013718685588321171,0.23656433509452757
in,0.001456122100353241,0.2340558087766268
oh,0.0009333524439069959,0.2584725092927753
no,0.001765820715162489,0.2053800333512038
get,0.0022121129966363676,0.3430414310988922
your,0.0015929518519221125,0.24552454888774478
this,0.0012707082848799857,0.2471664679101364
nan,0.020831780774252757,0.44445569208044
yeah,0.0010931846257802602,0.36775314256841307
of,0.0023771867156028746,0.20586494446895365
we,0.0012357218397988214,0.17072566921667098
can,0.0008361210694184174,0.2972733068040879
know,0.0011919912169961369,0.23242584236079367
one,0.002502231134308709,0.3295952680379587
there,0.0013360653604779925,0.29193691453256887
like,0.0013216530404439786,0.23727127280975535
me,0.0011723331042698452,0.31726361290220384
see,0.001382899284362793,0.26180022574619066
right,0.0013672726021872626,0.2874030626692713
here,0.0016564914158412388,0.27506878918881683
come,0.003624877508948831,0.34176789079712744
say,0.0033209840456644695,0.3013454423127331
want,0.002068670590718587,0.277325026469912
they,0.0015911057591438294,0.2470281325227831
for,0.0012783497571945191,0.16352399186441924
up,0.0019326716661453246,0.30406014921220625
not,0.0013151114637201483,0.21457060120262306
will,0.0019216194748878479,0.3061286871535821
she,0.0015333205461502074,0.24886161488850933
now,0.0012015426481092298,0.33486397411347824
how,0.002120705114470588,0.23852044684531903
good,0.0015388420649937221,0.34393743184816583
with,0.00119215760912214,0.24047638668730198
so,0.0012814521789550782,0.22831508791014066
yes,0.0012585029882543227,0.31366955263421004
think,0.0008875161409378051,0.19654242416277867
well,0.0017029268401009695,0.2939546573230336
look,0.0018756664716280424,0.2592966415627259
just,0.001065290787003257,0.2286052879548518
gonna,0.0018603103501456124,0.3269405955359729
all,0.0014579372528271798,0.22803860570504464
put,0.0016940638422966003,0.18149404062910646
eat,0.000958233220236642,0.21175402441957925
but,0.0017150735313242133,0.3145762720647184
at,0.002370743453502655,0.26739790707596467
let,0.0010149761250144557,0.23566458710303084
my,0.0027698352932929993,0.264471557794946
out,0.002101462061812238,0.28881041617030156
if,0.0011930806296212332,0.2598493937284315
make,0.0017879104072397406,0.3466005135068051
take,0.0028718556676592144,0.30303797880176486
about,0.0016216877847909927,0.3283539729331296
then,0.002265012264251709,0.2740571211768722
when,0.001757965276115819,0.25096111681665867
some,0.0018809053205674695,0.19830418714455222
where,0.001775973551982158,0.2708101583704947
who,0.005439402283848943,0.4663794832218443
them,0.001716439425945282,0.2475063520072781
why,0.001489366094271342,0.2956099622689342
little,0.0034049460382172556,0.3562895900735571
tell,0.0015441960301892511,0.2854848855950882
because,0.0010439251598558929,0.2791468565946399
huh,0.0011342481562965794,0.3364050750774703
down,0.0010481536388397216,0.2809634056789724
alright,0.001327504129970775,0.20488953810698696
back,0.001816850442152757,0.35940973338872995
him,0.0019612923646584535,0.2580461152849688
too,0.0013953999775211986,0.2872957895685533
or,0.0007844581836607399,0.27650518152066517
