,word,category,lexical_class,period0,period1,period2,period3,period4
0,bite,action_words,verbs,0.206759459983844,0.23322760392176478,0.2310577572456428,0.20780575312674046,0.26468311646618903
1,blow,action_words,verbs,0.11354917156345704,0.16768396496772767,0.14551211040234194,0.12991766477935016,0.1357205877546221
2,break,action_words,verbs,0.1365686365041054,0.21108552599577485,0.21610285490751266,0.21004973327446924,0.18495781572633668
3,bring,action_words,verbs,0.21740351560024115,0.1899325491272305,0.20530676359358507,0.20914096320047976,0.17534169731422877
4,build,action_words,verbs,0.13651499734857145,0.13347201358992605,0.11045817811973394,0.11940928814001381,0.14574516254942865
5,bump,action_words,verbs,0.2073806959928738,0.17725268407509878,0.18776443027155965,0.15397347672842443,0.1573938329704106
6,buy,action_words,verbs,0.14900840176508212,0.18560470889012018,0.17494999612681567,0.19467718014493585,0.22973403199820927
7,carry,action_words,verbs,0.10603958378104787,0.1163573398720473,0.12916769820432633,0.13012942993082105,0.11382143567196834
8,catch,action_words,verbs,0.17091638118560826,0.17808453214207762,0.17792392577975988,0.20946992136155948,0.18771437453106046
9,chase,action_words,verbs,0.08572244400588366,0.14120772904716433,0.139850452542305,0.13740993957770498,0.152073153049538
10,clap,action_words,verbs,0.17091641312634404,0.1854713646695018,0.15073717354486385,0.0,0.11628591227345168
11,clean,action_words,verbs,0.18791399160400032,0.22549333004280925,0.2146959612397729,0.2134862905368209,0.18874377720548133
12,climb,action_words,verbs,0.16109653079490127,0.20567691302858293,0.1906029312656476,0.18508768612996507,0.14894829528700365
13,close,action_words,verbs,0.11349658883715931,0.14396824702047384,0.14630811573827968,0.13456339268013834,0.15385192064078232
14,cook,action_words,verbs,0.3333561892071978,0.30343318786472084,0.2983624592423439,0.3303949685767293,0.27343392916596854
15,cover,action_words,verbs,0.11639448353606793,0.12600623725507504,0.14358811286856998,0.11675050617195666,0.11945770050470646
16,cry,action_words,verbs,0.18413049187988806,0.2213588211881487,0.2117089734069611,0.24892351541079974,0.1868442884646356
17,cut,action_words,verbs,0.13595869647044884,0.16052106987589446,0.14943902889216268,0.15963432481751227,0.15049621209693262
18,dance,action_words,verbs,0.2072679010384223,0.20549483332586915,0.15747642784546584,0.17392942872829736,0.1981013487928953
19,draw,action_words,verbs,0.11800726025218242,0.14856146611763457,0.16339275003410875,0.14363948106765748,0.11712760361842811
20,drive,action_words,verbs,0.1787987010410199,0.16058106254786253,0.16897222064435483,0.1558776034042239,0.13858192801279456
21,drop,action_words,verbs,0.11639582909022768,0.21131711223950753,0.20766681964908326,0.1657884068405017,0.14769864287704992
22,dry,action_words,verbs,0.21539717798049635,0.2043678771603752,0.2371547977263863,0.20301478262990713,0.2409908456298021
23,dump,action_words,verbs,0.1852164605166763,0.17632164394384936,0.18296794082300785,0.18761168592609465,0.16485542911104858
24,eat,action_words,verbs,0.30517812569936115,0.3190158070996404,0.30176097974181176,0.2766371060162783,0.29243900179862975
25,fall,action_words,verbs,0.17231058219495493,0.2156651035245312,0.1742613341452347,0.18830384239554404,0.1657220835869129
26,feed,action_words,verbs,0.1702572459820658,0.19300511519651156,0.18401271945331246,0.1336575120099281,0.16783128609546485
27,find,action_words,verbs,0.22862445578180454,0.24505790504381844,0.25076579665526366,0.19592298017814755,0.13635568840331153
28,finish,action_words,verbs,0.09391900758521679,0.11954012081811302,0.09979072527161666,0.11900726705789566,0.11852515622591361
29,fit,action_words,verbs,0.1584494907261902,0.14119083939218208,0.15189055029891038,0.16097294873754053,0.1271644685871135
30,fix,action_words,verbs,0.16197556464208496,0.19108041608706117,0.19358073444002205,0.1779542803997174,0.17803825349792055
31,get,action_words,verbs,0.2934711078802745,0.3128188391908621,0.2861068546772003,0.32054080965148435,0.3186556011237003
32,give,action_words,verbs,0.23592285179582081,0.25617023484988344,0.20051402700218288,0.23346381330568539,0.2300501398153995
33,go,action_words,verbs,0.19721630703219595,0.23740937736713225,0.20351988304820326,0.21576995549625472,0.23658403060916397
34,hate,action_words,verbs,0.18838138239724295,0.13538949673947615,0.181038734516395,0.18205054179840796,0.16583480622227253
35,have,action_words,verbs,0.2664842729113604,0.29197960080845015,0.23648528548839845,0.2376052901350163,0.28481462748872266
36,hear,action_words,verbs,0.23854587795703033,0.2521694299764931,0.23896781422006777,0.28412404721602796,0.23543725181370972
37,help,action_words,verbs,0.14645837178747906,0.12223127192984788,0.13173426599759194,0.16539798447718987,0.1703924668070517
38,hide,action_words,verbs,0.1596047715529015,0.15855582430958748,0.12898501784012123,0.13697593233082445,0.13013996324764612
39,hit,action_words,verbs,0.17475454720693664,0.19909656475726012,0.19587977701111844,0.1534345254767686,0.2093173348559783
40,hold,action_words,verbs,0.2163629200309515,0.18456648020312572,0.2025890702283696,0.2085421970114112,0.18976185782812535
41,hug,action_words,verbs,0.2096831218112965,0.2186201530936602,0.2064288579341438,0.240636758653349,0.217213355985127
