"","word","category","lexical_class"
"1","baa baa","sounds","other"
"2","choo choo","sounds","other"
"3","cockadoodledoo","sounds","other"
"4","grrr","sounds","other"
"5","meow","sounds","other"
"6","moo","sounds","other"
"7","ouch","sounds","other"
"8","quack quack","sounds","other"
"9","uh oh","sounds","other"
"10","vroom","sounds","other"
"11","woof woof","sounds","other"
"12","yum yum","sounds","other"
"13","alligator","animals","nouns"
"14","animal","animals","nouns"
"15","ant","animals","nouns"
"16","bear","animals","nouns"
"17","bee","animals","nouns"
"18","bird","animals","nouns"
"19","bug","animals","nouns"
"20","bunny","animals","nouns"
"21","butterfly","animals","nouns"
"22","cat","animals","nouns"
"23","chicken","animals","nouns"
"24","cow","animals","nouns"
"25","deer","animals","nouns"
"26","dog","animals","nouns"
"27","donkey","animals","nouns"
"28","duck","animals","nouns"
"29","elephant","animals","nouns"
"30","fish","animals","nouns"
"31","frog","animals","nouns"
"32","giraffe","animals","nouns"
"33","goose","animals","nouns"
"34","hen","animals","nouns"
"35","horse","animals","nouns"
"36","kitty","animals","nouns"
"37","lamb","animals","nouns"
"38","lion","animals","nouns"
"39","monkey","animals","nouns"
"40","moose","animals","nouns"
"41","mouse","animals","nouns"
"42","owl","animals","nouns"
"43","penguin","animals","nouns"
"44","pig","animals","nouns"
"45","pony","animals","nouns"
"46","puppy","animals","nouns"
"47","rooster","animals","nouns"
"48","sheep","animals","nouns"
"49","squirrel","animals","nouns"
"50","teddybear","animals","nouns"
"51","tiger","animals","nouns"
"52","turkey","animals","nouns"
"53","turtle","animals","nouns"
"54","wolf","animals","nouns"
"55","zebra","animals","nouns"
"56","airplane","vehicles","nouns"
"57","bicycle","vehicles","nouns"
"58","boat","vehicles","nouns"
"59","bus","vehicles","nouns"
"60","car","vehicles","nouns"
"61","firetruck","vehicles","nouns"
"62","helicopter","vehicles","nouns"
"63","motorcycle","vehicles","nouns"
"64","sled","vehicles","nouns"
"65","stroller","vehicles","nouns"
"66","tractor","vehicles","nouns"
"67","train","vehicles","nouns"
"68","tricycle","vehicles","nouns"
"69","truck","vehicles","nouns"
"70","ball","toys","nouns"
"71","balloon","toys","nouns"
"72","bat","toys","nouns"
"73","block","toys","nouns"
"74","book","toys","nouns"
"75","bubbles","toys","nouns"
"76","chalk","toys","nouns"
"77","crayon","toys","nouns"
"78","doll","toys","nouns"
"79","game","toys","nouns"
"80","glue","toys","nouns"
"81","pen","toys","nouns"
"82","pencil","toys","nouns"
"83","play dough","toys","nouns"
"84","present","toys","nouns"
"85","puzzle","toys","nouns"
"86","story","toys","nouns"
"87","toy","toys","nouns"
"88","apple","food_drink","nouns"
"89","applesauce","food_drink","nouns"
"90","banana","food_drink","nouns"
"91","beans","food_drink","nouns"
"92","bread","food_drink","nouns"
"93","butter","food_drink","nouns"
"94","cake","food_drink","nouns"
"95","candy","food_drink","nouns"
"96","carrots","food_drink","nouns"
