word,category,lexical_class
baa_baa,sounds,other
choo_choo,sounds,other
cockadoodledoo,sounds,other
grrr,sounds,other
meow,sounds,other
moo,sounds,other
ouch,sounds,other
quack_quack,sounds,other
uh_oh,sounds,other
vroom,sounds,other
woof_woof,sounds,other
yum_yum,sounds,other
alligator,animals,nouns
animal,animals,nouns
ant,animals,nouns
bear,animals,nouns
bee,animals,nouns
bird,animals,nouns
bug,animals,nouns
bunny,animals,nouns
butterfly,animals,nouns
cat,animals,nouns
chicken,animals,nouns
cow,animals,nouns
deer,animals,nouns
dog,animals,nouns
donkey,animals,nouns
duck,animals,nouns
elephant,animals,nouns
fish,animals,nouns
frog,animals,nouns
giraffe,animals,nouns
goose,animals,nouns
hen,animals,nouns
horse,animals,nouns
kitty,animals,nouns
lamb,animals,nouns
lion,animals,nouns
monkey,animals,nouns
moose,animals,nouns
mouse,animals,nouns
owl,animals,nouns
penguin,animals,nouns
pig,animals,nouns
pony,animals,nouns
puppy,animals,nouns
rooster,animals,nouns
sheep,animals,nouns
squirrel,animals,nouns
teddybear,animals,nouns
tiger,animals,nouns
turkey,animals,nouns
turtle,animals,nouns
wolf,animals,nouns
zebra,animals,nouns
airplane,vehicles,nouns
bicycle,vehicles,nouns
boat,vehicles,nouns
bus,vehicles,nouns
car,vehicles,nouns
firetruck,vehicles,nouns
helicopter,vehicles,nouns
motorcycle,vehicles,nouns
sled,vehicles,nouns
stroller,vehicles,nouns
tractor,vehicles,nouns
train,vehicles,nouns
tricycle,vehicles,nouns
truck,vehicles,nouns
ball,toys,nouns
balloon,toys,nouns
bat,toys,nouns
block,toys,nouns
book,toys,nouns
bubbles,toys,nouns
chalk,toys,nouns
crayon,toys,nouns
doll,toys,nouns
game,toys,nouns
glue,toys,nouns
pen,toys,nouns
pencil,toys,nouns
play_dough,toys,nouns
present,toys,nouns
puzzle,toys,nouns
story,toys,nouns
toy,toys,nouns
apple,food_drink,nouns
applesauce,food_drink,nouns
banana,food_drink,nouns
beans,food_drink,nouns
bread,food_drink,nouns
butter,food_drink,nouns
cake,food_drink,nouns
candy,food_drink,nouns
carrots,food_drink,nouns
cereal,food_drink,nouns
cheerios,food_drink,nouns
cheese,food_drink,nouns
chocolate,food_drink,nouns
coffee,food_drink,nouns
coke,food_drink,nouns
cookie,food_drink,nouns
corn,food_drink,nouns
cracker,food_drink,nouns
donut,food_drink,nouns
drink,food_drink,nouns
egg,food_drink,nouns
food,food_drink,nouns
french_fries,food_drink,nouns
grapes,food_drink,nouns
green_beans,food_drink,nouns
gum,food_drink,nouns
hamburger,food_drink,nouns
ice,food_drink,nouns
ice_cream,food_drink,nouns
jello,food_drink,nouns
jelly,food_drink,nouns
juice,food_drink,nouns
lollipop,food_drink,nouns
meat,food_drink,nouns
melon,food_drink,nouns
milk,food_drink,nouns
muffin,food_drink,nouns
noodles,food_drink,nouns
nuts,food_drink,nouns
orange,food_drink,nouns
pancake,food_drink,nouns
peas,food_drink,nouns
peanut_butter,food_drink,nouns
pickle,food_drink,nouns
pizza,food_drink,nouns
popcorn,food_drink,nouns
popsicle,food_drink,nouns
potato_chip,food_drink,nouns
potato,food_drink,nouns
pretzel,food_drink,nouns
pudding,food_drink,nouns
pumpkin,food_drink,nouns
raisin,food_drink,nouns
salt,food_drink,nouns
sandwich,food_drink,nouns
sauce,food_drink,nouns
soda,food_drink,nouns
soup,food_drink,nouns
spaghetti,food_drink,nouns
strawberry,food_drink,nouns
toast,food_drink,nouns
tuna,food_drink,nouns
vanilla,food_drink,nouns
vitamins,food_drink,nouns
water,food_drink,nouns
yogurt,food_drink,nouns
beads,clothing,nouns
belt,clothing,nouns
bib,clothing,nouns
boots,clothing,nouns
button,clothing,nouns
coat,clothing,nouns
diaper,clothing,nouns
dress,clothing,nouns
gloves,clothing,nouns
hat,clothing,nouns
jacket,clothing,nouns
jeans,clothing,nouns
mittens,clothing,nouns
necklace,clothing,nouns
pajamas,clothing,nouns
pants,clothing,nouns
scarf,clothing,nouns
shirt,clothing,nouns
shoe,clothing,nouns
shorts,clothing,nouns
slipper,clothing,nouns
sneaker,clothing,nouns
snowsuit,clothing,nouns
sock,clothing,nouns
sweater,clothing,nouns
tights,clothing,nouns
underpants,clothing,nouns
zipper,clothing,nouns
ankle,body_parts,nouns
arm,body_parts,nouns
belly_button,body_parts,nouns
buttocks,body_parts,nouns
cheek,body_parts,nouns
chin,body_parts,nouns
ear,body_parts,nouns
eye,body_parts,nouns
face,body_parts,nouns
finger,body_parts,nouns
foot,body_parts,nouns
hair,body_parts,nouns
hand,body_parts,nouns
head,body_parts,nouns
knee,body_parts,nouns
leg,body_parts,nouns
lips,body_parts,nouns
mouth,body_parts,nouns
nose,body_parts,nouns
owie,body_parts,nouns
penis,body_parts,nouns
shoulder,body_parts,nouns
toe,body_parts,nouns
tongue,body_parts,nouns
tooth,body_parts,nouns
tummy,body_parts,nouns
vagina,body_parts,nouns
basket,household,nouns
blanket,household,nouns
bottle,household,nouns
bowl,household,nouns
box,household,nouns
broom,household,nouns
brush,household,nouns
bucket,household,nouns
camera,household,nouns
can,household,nouns
clock,household,nouns
comb,household,nouns
cup,household,nouns
dish,household,nouns
fork,household,nouns
garbage,household,nouns
glass,household,nouns
glasses,household,nouns
hammer,household,nouns
jar,household,nouns
keys,household,nouns
knife,household,nouns
lamp,household,nouns
light,household,nouns
medicine,household,nouns
money,household,nouns
mop,household,nouns
nail,household,nouns
napkin,household,nouns
paper,household,nouns
penny,household,nouns
picture,household,nouns
pillow,household,nouns
plant,household,nouns
plate,household,nouns
purse,household,nouns
radio,household,nouns
scissors,household,nouns
soap,household,nouns
spoon,household,nouns
tape,household,nouns
telephone,household,nouns
tissue,household,nouns
toothbrush,household,nouns
towel,household,nouns
trash,household,nouns
tray,household,nouns
vacuum,household,nouns
walker,household,nouns
watch,household,nouns
basement,furniture_rooms,nouns
bathroom,furniture_rooms,nouns
bathtub,furniture_rooms,nouns
bed,furniture_rooms,nouns
bedroom,furniture_rooms,nouns
bench,furniture_rooms,nouns
chair,furniture_rooms,nouns
closet,furniture_rooms,nouns
couch,furniture_rooms,nouns
crib,furniture_rooms,nouns
door,furniture_rooms,nouns
drawer,furniture_rooms,nouns
dryer,furniture_rooms,nouns
garage,furniture_rooms,nouns
high_chair,furniture_rooms,nouns
kitchen,furniture_rooms,nouns
living_room,furniture_rooms,nouns
oven,furniture_rooms,nouns
play_pen,furniture_rooms,nouns
porch,furniture_rooms,nouns
potty,furniture_rooms,nouns
rocking_chair,furniture_rooms,nouns
refrigerator,furniture_rooms,nouns
room,furniture_rooms,nouns
shower,furniture_rooms,nouns
sink,furniture_rooms,nouns
sofa,furniture_rooms,nouns
stairs,furniture_rooms,nouns
stove,furniture_rooms,nouns
table,furniture_rooms,nouns
tv,furniture_rooms,nouns
window,furniture_rooms,nouns
washing_machine,furniture_rooms,nouns
backyard,outside,nouns
cloud,outside,nouns
flag,outside,nouns
flower,outside,nouns
garden,outside,nouns
grass,outside,nouns
hose,outside,nouns
ladder,outside,nouns
lawn_mower,outside,nouns
moon,outside,nouns
pool,outside,nouns
rain,outside,nouns
rock,outside,nouns
roof,outside,nouns
sandbox,outside,nouns
shovel,outside,nouns
sidewalk,outside,nouns
sky,outside,nouns
slide,outside,nouns
snow,outside,nouns
snowman,outside,nouns
sprinkler,outside,nouns
star,outside,nouns
stick,outside,nouns
stone,outside,nouns
street,outside,nouns
sun,outside,nouns
swing,outside,nouns
tree,outside,nouns
wind,outside,nouns
beach,places,other
camping,places,other
church,places,other
circus,places,other
country,places,other
downtown,places,other
farm,places,other
gas_station,places,other
home,places,other
house,places,other
movie,places,other
outside,places,other
park,places,other
party,places,other
picnic,places,other
playground,places,other
school,places,other
store,places,other
woods,places,other
work,places,other
yard,places,other
zoo,places,other
aunt,people,other
baby,people,other
babysitter,people,other
boy,people,other
brother,people,other
child,people,other
clown,people,other
cowboy,people,other
daddy,people,other
doctor,people,other
fireman,people,other
friend,people,other
girl,people,other
grandma,people,other
grandpa,people,other
lady,people,other
mailman,people,other
man,people,other
mommy,people,other
nurse,people,other
people,people,other
person,people,other
police,people,other
sister,people,other
teacher,people,other
uncle,people,other
bath,games_routines,other
breakfast,games_routines,other
bye,games_routines,other
call,games_routines,other
dinner,games_routines,other
give_me_five,games_routines,other
gonna_get_you,games_routines,other
go_potty,games_routines,other
hello,games_routines,other
hi,games_routines,other
lunch,games_routines,other
nap,games_routines,other
night_night,games_routines,other
no,games_routines,other
pattycake,games_routines,other
peekaboo,games_routines,other
please,games_routines,other
shh,games_routines,other
shopping,games_routines,other
snack,games_routines,other
so_big,games_routines,other
thank_you,games_routines,other
this_little_piggy,games_routines,other
turn_around,games_routines,other
yes,games_routines,other
bite,action_words,verbs
blow,action_words,verbs
break,action_words,verbs
bring,action_words,verbs
build,action_words,verbs
bump,action_words,verbs
buy,action_words,verbs
carry,action_words,verbs
catch,action_words,verbs
chase,action_words,verbs
clap,action_words,verbs
clean,action_words,verbs
climb,action_words,verbs
close,action_words,verbs
cook,action_words,verbs
cover,action_words,verbs
cry,action_words,verbs
cut,action_words,verbs
dance,action_words,verbs
draw,action_words,verbs
drive,action_words,verbs
drop,action_words,verbs
dry,action_words,verbs
dump,action_words,verbs
eat,action_words,verbs
fall,action_words,verbs
feed,action_words,verbs
find,action_words,verbs
finish,action_words,verbs
fit,action_words,verbs
fix,action_words,verbs
get,action_words,verbs
give,action_words,verbs
go,action_words,verbs
hate,action_words,verbs
have,action_words,verbs
hear,action_words,verbs
help,action_words,verbs
hide,action_words,verbs
hit,action_words,verbs
hold,action_words,verbs
hug,action_words,verbs
hurry,action_words,verbs
jump,action_words,verbs
kick,action_words,verbs
kiss,action_words,verbs
knock,action_words,verbs
lick,action_words,verbs
like,action_words,verbs
listen,action_words,verbs
look,action_words,verbs
love,action_words,verbs
make,action_words,verbs
open,action_words,verbs
paint,action_words,verbs
