,Unnamed: 0,item_id,definition,category,lexical_class
0,1,item_1,baa_baa,sounds,other
1,2,item_2,choo_choo,sounds,other
2,3,item_3,cockadoodledoo,sounds,other
3,4,item_4,grrr,sounds,other
4,5,item_5,meow,sounds,other
5,6,item_6,moo,sounds,other
6,7,item_7,ouch,sounds,other
7,8,item_8,quack_quack,sounds,other
8,9,item_9,uh_oh,sounds,other
9,10,item_10,vroom,sounds,other
10,11,item_11,woof_woof,sounds,other
11,12,item_12,yum_yum,sounds,other
12,13,item_13,alligator,animals,nouns
13,14,item_14,animal,animals,nouns
14,15,item_15,ant,animals,nouns
15,16,item_16,bear,animals,nouns
16,17,item_17,bee,animals,nouns
17,18,item_18,bird,animals,nouns
18,19,item_19,bug,animals,nouns
19,20,item_20,bunny,animals,nouns
20,21,item_21,butterfly,animals,nouns
21,22,item_22,cat,animals,nouns
22,23,item_23,chicken_(animal),animals,nouns
23,24,item_24,cow,animals,nouns
24,25,item_25,deer,animals,nouns
25,26,item_26,dog,animals,nouns
26,27,item_27,donkey,animals,nouns
27,28,item_28,duck,animals,nouns
28,29,item_29,elephant,animals,nouns
29,30,item_30,fish_(animal),animals,nouns
30,31,item_31,frog,animals,nouns
31,32,item_32,giraffe,animals,nouns
32,33,item_33,goose,animals,nouns
33,34,item_34,hen,animals,nouns
34,35,item_35,horse,animals,nouns
35,36,item_36,kitty,animals,nouns
36,37,item_37,lamb,animals,nouns
37,38,item_38,lion,animals,nouns
38,39,item_39,monkey,animals,nouns
39,40,item_40,moose,animals,nouns
40,41,item_41,mouse,animals,nouns
41,42,item_42,owl,animals,nouns
42,43,item_43,penguin,animals,nouns
43,44,item_44,pig,animals,nouns
44,45,item_45,pony,animals,nouns
45,46,item_46,puppy,animals,nouns
46,47,item_47,rooster,animals,nouns
47,48,item_48,sheep,animals,nouns
48,49,item_49,squirrel,animals,nouns
49,50,item_50,teddybear,animals,nouns
50,51,item_51,tiger,animals,nouns
51,52,item_52,turkey,animals,nouns
52,53,item_53,turtle,animals,nouns
53,54,item_54,wolf,animals,nouns
54,55,item_55,zebra,animals,nouns
55,56,item_56,airplane,vehicles,nouns
56,57,item_57,bicycle,vehicles,nouns
57,58,item_58,boat,vehicles,nouns
58,59,item_59,bus,vehicles,nouns
59,60,item_60,car,vehicles,nouns
60,61,item_61,firetruck,vehicles,nouns
61,62,item_62,helicopter,vehicles,nouns
62,63,item_63,motorcycle,vehicles,nouns
63,64,item_64,sled,vehicles,nouns
64,65,item_65,stroller,vehicles,nouns
65,66,item_66,tractor,vehicles,nouns
66,67,item_67,train,vehicles,nouns
67,68,item_68,tricycle,vehicles,nouns
